text,label
"Your account has been suspended. Verify immediately at http://fake-login.com",1
"Congratulations! You have won a lottery. Click http://win-prize.com to claim",1
"Urgent: Update your banking password at http://secure-bank-login.com",1
"Dear user, your account security needs attention. Login now http://security-check.com",1
"Meeting scheduled tomorrow at 10 AM in conference room",0
"Please find the attached report for your review",0
"Let's catch up for lunch today",0
"Your Amazon order has been shipped successfully",0
"Team meeting rescheduled to Monday",0
"Happy birthday! Wishing you a great day ahead",0
